sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
22	7	den	12013	398	0.59466	6.61166	3.07332	3	NA	5	3	2
22	8	Rasen	13	732	0.82357	6.56709	1.1648	5	NA	2	2	3
22	9	nach	3365	674	1.14433	6.58696	1.71952	4	NA	4	2	3
22	10	dem	6578	338	1.3968	6.45806	1.92061	3	NA	4	2	2
22	11	Spiel	NA	NA	NA	NA	0.71921	6	NA	NA	1	NA
23	1	In	NA	NA	NA	NA	2.42343	2	NA	NA	3	NA
23	2	den	12013	197	0	6.59812	1.31155	3	NA	5	2	1
23	3	Fässern	2	396	0	6.63445	1.382	7	NA	1	2	2
23	4	gären	1	406	0.1491	6.58696	2.47477	5	NA	1	3	3
23	5	Beize	1	378	0.34733	10.59239	2.68131	5	NA	1	3	2
23	6	und	23166	219	0.68821	4.72178	4.06947	3	NA	5	4	1
23	7	Lauge	NA	NA	NA	NA	0.53892	6	NA	NA	1	NA
24	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
24	2	Förster	7	197	0	6.61735	1.0557	7	NA	1	2	1
24	3	küren	2	396	0	6.58696	8.4457	5	NA	1	5	2
24	4	Ahorn	2	636	0.042	10.59239	10.17023	5	NA	1	5	3
24	5	zum	2402	423	0.21892	4.72178	4.99028	3	NA	4	4	3
24	6	Baum	23	394	0.48506	6.52096	0.51277	4	NA	2	1	2
24	7	des	7866	398	0.65649	6.62155	2.94745	3	NA	4	3	2
24	8	Jahres	NA	NA	NA	NA	1.1748	7	NA	NA	2	NA
25	1	Wolfgangs	NA	NA	NA	NA	3.77039	9	NA	NA	4	NA
25	2	Töchter	14	197	0	6.58823	5.57724	7	NA	2	5	1
25	3	studieren	16	474	0	4.0953	2.53126	9	NA	2	3	3
25	4	Literatur	97	394	0.16129	15.42982	4.48301	9	NA	2	4	2
25	5	und	23166	398	0.37251	4.72178	3.12945	3	NA	5	3	2
25	6	Maschinenbau	NA	NA	NA	NA	0.28709	13	NA	NA	1	NA
26	1	In	NA	NA	NA	NA	2.42343	2	NA	NA	3	NA
26	2	der	33429	197	0	6.59812	2.01459	3	NA	5	3	1
26	3	Klosterschule	1	396	0	6.63445	0.71883	13	NA	1	1	2
26	4	herrschen	11	406	0.1491	6.58696	2.66716	9	NA	2	3	3
26	5	Schwester	31	378	0.34795	10.59239	4.09469	9	NA	2	4	2
26	6	Agathe	2	219	0.64557	4.64647	3.15602	6	NA	1	3	1
26	7	und	23166	505	0.8753	8.91999	5.88714	3	NA	5	5	3
26	8	Schwester	31	443	1.04575	10.55579	3.64049	9	NA	2	4	3
26	9	Maria	NA	NA	NA	NA	3.75425	6	NA	NA	4	NA
27	1	Hier	NA	NA	NA	NA	3.75637	4	NA	NA	4	NA
27	2	scheinen	48	197	0	6.60087	2.14766	8	NA	2	3	1
27	3	Klempner	2	396	0	10.75555	4.30086	8	NA	1	4	2
27	4	am	2849	345	0.1362	4.72178	1.33974	2	NA	4	2	2
27	5	Werk	125	345	0.57993	6.52096	2.33178	4	NA	3	3	2
27	6	zu	9469	687	0.69213	6.62155	1.51802	2	NA	4	2	3
27	7	sein	NA	NA	NA	NA	5.4695	5	NA	NA	5	NA
28	1	Im	NA	NA	NA	NA	5.4502	2	NA	NA	5	NA
28	2	Aussehen	8	197	0	6.47945	0.47813	8	NA	1	1	1
28	3	gleichen	123	396	0	6.62155	2.20788	8	NA	3	3	2
28	4	Bratsche	2	345	0.17164	10.44692	2.98105	8	NA	1	3	2
28	5	und	23166	372	0.42535	4.72178	3.96537	3	NA	5	4	2
28	6	Geige	6	394	0.79058	10.7058	0.36948	5	NA	1	1	2
28	7	sich	7603	398	0.905	5.71098	8.40594	4	NA	4	5	2
28	8	sehr	NA	NA	NA	NA	2.78546	5	NA	NA	3	NA
29	1	Angeblich	NA	NA	NA	NA	5.93124	9	NA	NA	5	NA
29	2	flunkern	1	197	0	6.5047	2.06822	8	NA	1	3	1
29	3	Künstler	90	396	0	10.9603	4.45284	8	NA	2	4	2
29	4	oft	232	345	0.15543	4.72178	3.64703	3	NA	3	4	2
29	5	bezüglich	19	345	0.69131	8.18307	2.94967	9	NA	2	3	2
29	6	ihrer	750	345	0.898	6.36081	4.56454	5	NA	3	4	2
29	7	Einnahmen	NA	NA	NA	NA	0.71246	10	NA	NA	1	NA
30	1	Manchmal	NA	NA	NA	NA	3.75637	8	NA	NA	4	NA
30	2	krakeelen	1	197	0	6.60087	2.14766	9	NA	1	3	1
30	3	Politiker	120	396	0	10.75555	4.30086	9	NA	3	4	2
30	4	genauso	49	345	0.13549	4.72178	4.01398	7	NA	2	4	2
30	5	wie	3070	372	0.66554	8.18307	6.34078	3	NA	4	5	2
30	6	Demonstranten	NA	NA	NA	NA	3.45521	14	NA	NA	3	NA
31	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
31	2	Armen	24	197	0	6.61735	1.17345	5	NA	2	2	1
31	3	plündern	2	396	0	6.58696	2.26605	8	NA	1	3	2
31	4	Speicher	5	636	0.042	10.59239	4.56282	8	NA	1	4	3
31	5	und	23166	423	0.22855	4.72178	3.15136	3	NA	5	3	3
31	6	Vorratskeller	1	394	0.53193	10.7058	0.27029	13	NA	1	1	2
31	7	der	33429	398	0.62933	5.71098	5.11175	3	NA	5	5	2
31	8	reichen	46	474	1.22993	6.56709	2.13467	7	NA	2	3	3
31	9	Bauern	NA	NA	NA	NA	0.20188	7	NA	NA	1	NA
32	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
32	2	Richter	102	197	0	6.61735	1.0557	7	NA	3	2	1
32	3	der	33429	396	0	6.58696	3.54438	3	NA	5	4	2
32	4	Landwirtschaftsschau	1	738	0.10788	6.56709	0.65401	20	NA	1	1	3
32	5	prämieren	1	527	0.35247	6.58696	7.95153	9	NA	1	5	3
32	6	Rhabarber	1	449	0.44331	10.59239	10.49802	9	NA	1	5	3
32	7	und	23166	241	0.65036	4.72178	1.9665	3	NA	5	2	1
32	8	Mangold	NA	NA	NA	NA	0.20367	8	NA	NA	1	NA
33	1	Schon	NA	NA	NA	NA	3.75637	5	NA	NA	4	NA
33	2	immer	1046	197	0	6.60087	3.59965	5	NA	4	4	1
33	3	war	2482	474	0	10.12114	3.13222	3	NA	4	3	3
33	4	der	33429	445	0.14258	10.57368	1.56623	3	NA	5	2	3
33	5	Besitz	42	345	0.79788	6.62023	0.78734	6	NA	2	1	2
33	6	von	10177	197	1.30046	6.58696	1.92019	3	NA	5	2	1
33	7	Land	646	197	0.98346	6.45806	1.62322	4	NA	3	2	1
33	8	sehr	571	219	1.58498	6.61166	4.00993	4	NA	3	4	1
33	9	wichtig	NA	NA	NA	NA	3.49764	8	NA	NA	4	NA
34	1	Ein	NA	NA	NA	NA	2.60888	3	NA	NA	3	NA
34	2	berühmter	6	197	0	6.61735	2.12345	9	NA	1	3	1
34	3	Maler	36	396	0	6.60187	0.20133	5	NA	2	1	2
34	4	hat	3572	396	0.1061	6.42835	2.69088	3	NA	4	3	2
34	5	sich	7603	429	0.39166	14.94408	4.37388	4	NA	4	4	3
