experiment simulation item wn word enctime ecc freq1
STAUB10 9 SRC 1 "the" 16 1.586 .00370
STAUB10 9 SRC 2 "employees" 28 3.273 .00370
STAUB10 9 SRC 3 "who" 43 3.071 .00370
STAUB10 9 SRC 4 "noticed" 39 2.510 .00370
STAUB10 9 SRC 5 "the" 30 2.152 .00370
STAUB10 9 SRC 6 "fireman" 63 4.198 .00370
STAUB10 9 SRC 7 "hurried" 40 3.315 .00370
STAUB10 9 SRC 8 "to" 28 1.962 .00370
STAUB10 9 SRC 9 "the" 23 1.310 .00370
STAUB10 9 SRC 10 "clinic" 26 2.198 .00370
STAUB10 9 SRC 11 "*" 27 1.563 .00370
STAUB10 9 ORC 1 "the" 27 1.555 .00370
STAUB10 9 ORC 2 "employees" 33 2.599 .00370
STAUB10 9 ORC 3 "who" 27 2.564 .00370
STAUB10 9 ORC 4 "the" 28 1.715 .00370
STAUB10 9 ORC 5 "fireman" 28 1.917 .00370
STAUB10 9 ORC 4 "the" 15 0.255 .00370
STAUB10 9 ORC 5 "fireman" 23 2.351 .00370
STAUB10 9 ORC 6 "noticed" 40 3.238 .00370
STAUB10 9 ORC 7 "hurried" 42 3.031 .00370
STAUB10 9 ORC 8 "to" 21 1.623 .00370
STAUB10 9 ORC 9 "the" 25 1.486 .00370
STAUB10 9 ORC 10 "clinic" 33 3.695 .00370
STAUB10 9 ORC 11 "*" 24 1.298 .00370
STAUB10 10 SRC 1 "the" 19 1.391 .00370
STAUB10 10 SRC 2 "employees" 46 4.265 .00370
STAUB10 10 SRC 3 "who" 23 2.220 .00370
STAUB10 10 SRC 4 "noticed" 35 2.515 .00370
STAUB10 10 SRC 5 "the" 23 2.120 .00370
STAUB10 10 SRC 6 "fireman" 28 2.157 .00370
STAUB10 10 SRC 7 "hurried" 44 2.811 .00370
STAUB10 10 SRC 8 "to" 34 2.166 .00370
STAUB10 10 SRC 9 "the" 17 1.427 .00370
STAUB10 10 SRC 10 "clinic" 21 2.031 .00370
STAUB10 10 SRC 11 "*" 18 1.809 .00370
STAUB10 10 ORC 1 "the" 15 1.519 .00370
STAUB10 10 ORC 2 "employees" 35 2.887 .00370
STAUB10 10 ORC 3 "who" 28 2.489 .00370
STAUB10 10 ORC 4 "the" 25 1.320 .00370
STAUB10 10 ORC 5 "fireman" 22 2.579 .00370
STAUB10 10 ORC 4 "the" 14 0.121 .00370
STAUB10 10 ORC 5 "fireman" 33 2.249 .00370
STAUB10 10 ORC 6 "noticed" 68 5.406 .00370
STAUB10 10 ORC 7 "hurried" 38 2.881 .00370
STAUB10 10 ORC 8 "to" 17 1.796 .00370
STAUB10 10 ORC 9 "the" 19 1.576 .00370
STAUB10 10 ORC 10 "clinic" 28 2.063 .00370
STAUB10 10 ORC 11 "*" 18 1.373 .00370
STAUB10 11 SRC 1 "the" 16 1.391 .00370
STAUB10 11 SRC 2 "employees" 66 3.751 .00370
STAUB10 11 SRC 3 "who" 34 2.446 .00370
STAUB10 11 SRC 4 "noticed" 28 2.148 .00370
STAUB10 11 SRC 5 "the" 34 2.695 .00370
STAUB10 11 SRC 6 "fireman" 35 2.614 .00370
STAUB10 11 SRC 7 "hurried" 24 2.719 .00370
STAUB10 11 SRC 8 "to" 19 2.153 .00370
STAUB10 11 SRC 9 "the" 16 1.046 .00370
STAUB10 11 SRC 10 "clinic" 20 2.054 .00370
STAUB10 11 SRC 11 "*" 19 2.061 .00370
STAUB10 11 ORC 1 "the" 17 1.103 .00370
STAUB10 11 ORC 2 "employees" 30 2.589 .00370
STAUB10 11 ORC 3 "who" 43 3.068 .00370
STAUB10 11 ORC 4 "the" 21 1.513 .00370
STAUB10 11 ORC 5 "fireman" 38 3.432 .00370
STAUB10 11 ORC 1 "the" 71 4.990 .00370
STAUB10 11 ORC 2 "employees" 27 2.449 .00370
STAUB10 11 ORC 3 "who" 22 2.389 .00370
