experiment simulation item wn word enctime ecc freq1
"MV13-1" 3 LOW 5 "los" 25 1.317 .00370
"MV13-1" 3 LOW 6 "alumnos" 20 1.975 .00370
"MV13-1" 3 LOW 7 "selevantaran" 78 4.449 .00370
"MV13-1" 3 LOW 8 "del" 28 3.109 .00370
"MV13-1" 3 LOW 9 "asiento" 26 1.919 .00370
"MV13-1" 3 LOW 10 "cuando" 46 3.122 .00370
"MV13-1" 3 LOW 11 "los" 20 1.664 .00370
"MV13-1" 3 LOW 12 "directores" 36 3.304 .00370
"MV13-1" 3 LOW 13 "entraran" 51 3.749 .00370
"MV13-1" 3 LOW 14 "en" 15 1.428 .00370
"MV13-1" 3 LOW 15 "la" 27 1.756 .00370
"MV13-1" 3 LOW 16 "clase" 23 1.520 .00370
"MV13-1" 3 LOW 17 "de" 73 4.192 .00370
"MV13-1" 3 LOW 18 "musica" 19 1.007 .00370
"MV13-1" 3 LOW 19 "*" 31 2.738 .00370
"MV13-1" 3 UNAMB 1 "el" 13 1.254 .00370
"MV13-1" 3 UNAMB 2 "profesor" 28 2.204 .00370
"MV13-1" 3 UNAMB 3 "dijo" 111 5.253 .00370
"MV13-1" 3 UNAMB 4 "que" 18 1.312 .00370
"MV13-1" 3 UNAMB 5 "los" 22 1.477 .00370
"MV13-1" 3 UNAMB 6 "alumnos" 20 1.558 .00370
"MV13-1" 3 UNAMB 7 "selevantaran" 125 6.326 .00370
"MV13-1" 3 UNAMB 8 "del" 43 3.160 .00370
"MV13-1" 3 UNAMB 9 "asiento" 25 2.119 .00370
"MV13-1" 3 UNAMB 10 "si" 28 1.690 .00370
"MV13-1" 3 UNAMB 11 "los" 24 1.806 .00370
"MV13-1" 3 UNAMB 12 "directores" 91 4.750 .00370
"MV13-1" 3 UNAMB 13 "entraban" 46 3.084 .00370
"MV13-1" 3 UNAMB 14 "en" 38 2.760 .00370
"MV13-1" 3 UNAMB 15 "la" 22 1.028 .00370
"MV13-1" 3 UNAMB 16 "clase" 42 2.713 .00370
"MV13-1" 3 UNAMB 17 "de" 18 1.820 .00370
"MV13-1" 3 UNAMB 18 "musica" 17 1.727 .00370
"MV13-1" 3 UNAMB 19 "*" 22 1.806 .00370
"MV13-1" 4 HIGH 1 "el" 14 1.190 .00370
"MV13-1" 4 HIGH 2 "profesor" 27 2.398 .00370
"MV13-1" 4 HIGH 3 "dijo" 30 3.172 .00370
"MV13-1" 4 HIGH 4 "que" 23 1.169 .00370
"MV13-1" 4 HIGH 5 "los" 20 1.478 .00370
"MV13-1" 4 HIGH 6 "alumnos" 33 2.178 .00370
"MV13-1" 4 HIGH 7 "selevantaran" 63 4.104 .00370
"MV13-1" 4 HIGH 8 "del" 46 3.288 .00370
"MV13-1" 4 HIGH 9 "asiento" 31 2.026 .00370
"MV13-1" 4 HIGH 10 "cuando" 39 2.495 .00370
"MV13-1" 4 HIGH 11 "los" 31 2.367 .00370
"MV13-1" 4 HIGH 12 "directores" 48 3.057 .00370
"MV13-1" 4 HIGH 13 "entraron" 46 2.863 .00370
"MV13-1" 4 HIGH 1 "el" 1000797 27.927 .00370
"MV13-1" 4 HIGH 1 "el" 34 2.072 .00370
"MV13-1" 4 HIGH 2 "profesor" 37 2.267 .00370
"MV13-1" 4 HIGH 3 "dijo" 35 2.509 .00370
"MV13-1" 4 HIGH 4 "que" 18 1.682 .00370
"MV13-1" 4 HIGH 5 "los" 38 3.253 .00370
"MV13-1" 4 HIGH 6 "alumnos" 29 2.218 .00370
"MV13-1" 4 HIGH 7 "selevantaran" 48 3.915 .00370
"MV13-1" 4 HIGH 8 "del" 43 3.039 .00370
"MV13-1" 4 HIGH 9 "asiento" 30 2.227 .00370
"MV13-1" 4 HIGH 10 "cuando" 91 5.545 .00370
"MV13-1" 4 HIGH 11 "los" 28 1.638 .00370
"MV13-1" 4 HIGH 12 "directores" 102 4.903 .00370
"MV13-1" 4 HIGH 13 "entraron" 52 3.521 .00370
"MV13-1" 4 HIGH 14 "en" 27 2.371 .00370
"MV13-1" 4 HIGH 15 "la" 18 0.912 .00370
"MV13-1" 4 HIGH 16 "clase" 17 1.576 .00370
"MV13-1" 4 HIGH 17 "de" 22 1.813 .00370
"MV13-1" 4 HIGH 18 "musica" 17 1.879 .00370
"MV13-1" 4 HIGH 19 "*" 44 3.499 .00370
"MV13-1" 4 LOW 1 "el" 20 1.232 .00370
"MV13-1" 4 LOW 2 "profesor" 37 2.485 .00370
"MV13-1" 4 LOW 3 "dijo" 28 2.281 .00370
"MV13-1" 4 LOW 4 "que" 20 1.686 .00370
"MV13-1" 4 LOW 5 "los" 22 1.548 .00370
"MV13-1" 4 LOW 6 "alumnos" 26 2.701 .00370
"MV13-1" 4 LOW 7 "selevantaran" 30 3.235 .00370
"MV13-1" 4 LOW 8 "del" 35 3.607 .00370
"MV13-1" 4 LOW 9 "asiento" 25 1.868 .00370
"MV13-1" 4 LOW 10 "cuando" 31 3.204 .00370
"MV13-1" 4 LOW 11 "los" 28 2.115 .00370
"MV13-1" 4 LOW 12 "directores" 33 2.536 .00370
"MV13-1" 4 LOW 13 "entraran" 47 3.427 .00370
"MV13-1" 4 LOW 14 "en" 30 2.021 .00370
"MV13-1" 4 LOW 15 "la" 19 1.477 .00370
"MV13-1" 4 LOW 16 "clase" 17 1.756 .00370
"MV13-1" 4 LOW 17 "de" 30 2.127 .00370
"MV13-1" 4 LOW 18 "musica" 31 1.860 .00370
"MV13-1" 4 LOW 19 "*" 61 3.624 .00370
"MV13-1" 4 UNAMB 1 "el" 20 1.240 .00370
"MV13-1" 4 UNAMB 2 "profesor" 36 2.306 .00370
"MV13-1" 4 UNAMB 3 "dijo" 32 2.779 .00370
"MV13-1" 4 UNAMB 4 "que" 18 1.385 .00370
"MV13-1" 4 UNAMB 5 "los" 19 1.608 .00370
"MV13-1" 4 UNAMB 6 "alumnos" 36 2.515 .00370
"MV13-1" 4 UNAMB 7 "selevantaran" 26 2.907 .00370
"MV13-1" 4 UNAMB 8 "del" 74 4.844 .00370
"MV13-1" 4 UNAMB 9 "asiento" 18 1.406 .00370
"MV13-1" 4 UNAMB 10 "si" 24 2.101 .00370
"MV13-1" 4 UNAMB 11 "los" 18 0.998 .00370
"MV13-1" 4 UNAMB 12 "directores" 34 2.787 .00370
"MV13-1" 4 UNAMB 13 "entraban" 42 2.617 .00370
"MV13-1" 4 UNAMB 14 "en" 57 4.226 .00370
"MV13-1" 4 UNAMB 15 "la" 20 0.833 .00370
"MV13-1" 4 UNAMB 16 "clase" 24 2.068 .00370
"MV13-1" 4 UNAMB 17 "de" 20 2.014 .00370
"MV13-1" 4 UNAMB 18 "musica" 14 1.606 .00370
"MV13-1" 4 UNAMB 19 "*" 19 1.699 .00370
"MV13-1" 5 HIGH 1 "el" 13 1.420 .00370
"MV13-1" 5 HIGH 2 "profesor" 23 1.658 .00370
"MV13-1" 5 HIGH 3 "dijo" 38 3.498 .00370
"MV13-1" 5 HIGH 4 "que" 17 1.510 .00370
"MV13-1" 5 HIGH 5 "los" 16 1.726 .00370
"MV13-1" 5 HIGH 6 "alumnos" 27 2.027 .00370
"MV13-1" 5 HIGH 7 "selevantaran" 50 4.101 .00370
"MV13-1" 5 HIGH 8 "del" 45 3.126 .00370
"MV13-1" 5 HIGH 9 "asiento" 34 2.259 .00370
"MV13-1" 5 HIGH 10 "cuando" 40 2.835 .00370
"MV13-1" 5 HIGH 11 "los" 24 2.465 .00370
"MV13-1" 5 HIGH 12 "directores" 38 2.709 .00370
"MV13-1" 5 HIGH 13 "entraron" 55 3.720 .00370
"MV13-1" 5 HIGH 14 "en" 29 1.982 .00370
"MV13-1" 5 HIGH 15 "la" 19 1.249 .00370
"MV13-1" 5 HIGH 16 "clase" 17 1.706 .00370
