experiment simulation item wn word attachtime
"MV13-1" 3 UNAMB 18 "MUSICA" 28
"MV13-1" 4 HIGH 1 "EL" 70
"MV13-1" 4 HIGH 2 "PROFESOR" 70
"MV13-1" 4 HIGH 3 "DIJO" 34
"MV13-1" 4 HIGH 4 "QUE" 26
"MV13-1" 4 HIGH 5 "LOS" 70
"MV13-1" 4 HIGH 6 "ALUMNOS" 27
"MV13-1" 4 HIGH 7 "SELEVANTARAN" 35
"MV13-1" 4 HIGH 8 "DEL" 27
"MV13-1" 4 HIGH 9 "ASIENTO" 30
"MV13-1" 4 HIGH 10 "CUANDO" 20
"MV13-1" 4 HIGH 10 "CUANDO" 126
"MV13-1" 4 HIGH 11 "LOS" 70
"MV13-1" 4 HIGH 12 "DIRECTORES" 70
"MV13-1" 4 HIGH 13 "ENTRARON" 157
"MV13-1" 4 HIGH 14 "EN" 70
"MV13-1" 4 HIGH 15 "LA" 27
"MV13-1" 4 HIGH 16 "CLASE" 34
"MV13-1" 4 HIGH 17 "de" 36
"MV13-1" 4 HIGH 18 "MUSICA" 28
"MV13-1" 4 LOW 1 "EL" 70
"MV13-1" 4 LOW 2 "PROFESOR" 27
"MV13-1" 4 LOW 3 "DIJO" 70
"MV13-1" 4 LOW 4 "QUE" 25
"MV13-1" 4 LOW 5 "LOS" 22
"MV13-1" 4 LOW 6 "ALUMNOS" 70
"MV13-1" 4 LOW 7 "SELEVANTARAN" 70
"MV13-1" 4 LOW 8 "DEL" 26
"MV13-1" 4 LOW 9 "ASIENTO" 70
"MV13-1" 4 LOW 10 "CUANDO" 70
"MV13-1" 4 LOW 11 "LOS" 70
"MV13-1" 4 LOW 12 "DIRECTORES" 30
"MV13-1" 4 LOW 13 "ENTRARAN" 33
"MV13-1" 4 LOW 14 "EN" 31
"MV13-1" 4 LOW 15 "LA" 70
"MV13-1" 4 LOW 16 "CLASE" 31
"MV13-1" 4 LOW 17 "de" 30
"MV13-1" 4 LOW 18 "MUSICA" 30
"MV13-1" 4 UNAMB 1 "EL" 70
"MV13-1" 4 UNAMB 2 "PROFESOR" 70
"MV13-1" 4 UNAMB 3 "DIJO" 70
"MV13-1" 4 UNAMB 4 "QUE" 27
"MV13-1" 4 UNAMB 5 "LOS" 70
"MV13-1" 4 UNAMB 6 "ALUMNOS" 27
"MV13-1" 4 UNAMB 7 "SELEVANTARAN" 32
"MV13-1" 4 UNAMB 8 "DEL" 30
"MV13-1" 4 UNAMB 9 "ASIENTO" 33
"MV13-1" 4 UNAMB 10 "SI" 45
"MV13-1" 4 UNAMB 11 "LOS" 70
"MV13-1" 4 UNAMB 12 "DIRECTORES" 30
"MV13-1" 4 UNAMB 13 "ENTRABAN" 34
"MV13-1" 4 UNAMB 14 "EN" 33
"MV13-1" 4 UNAMB 15 "LA" 31
"MV13-1" 4 UNAMB 16 "CLASE" 70
"MV13-1" 4 UNAMB 17 "de" 31
"MV13-1" 4 UNAMB 18 "MUSICA" 70
"MV13-1" 5 HIGH 1 "EL" 22
"MV13-1" 5 HIGH 2 "PROFESOR" 70
"MV13-1" 5 HIGH 3 "DIJO" 70
"MV13-1" 5 HIGH 4 "QUE" 70
"MV13-1" 5 HIGH 5 "LOS" 70
"MV13-1" 5 HIGH 6 "ALUMNOS" 30
"MV13-1" 5 HIGH 7 "SELEVANTARAN" 30
"MV13-1" 5 HIGH 8 "DEL" 31
"MV13-1" 5 HIGH 9 "ASIENTO" 70
"MV13-1" 5 HIGH 10 "CUANDO" 20
"MV13-1" 5 HIGH 11 "LOS" 70
"MV13-1" 5 HIGH 12 "DIRECTORES" 32
"MV13-1" 5 HIGH 13 "ENTRARON" 33
"MV13-1" 5 HIGH 14 "EN" 27
"MV13-1" 5 HIGH 15 "LA" 27
"MV13-1" 5 HIGH 16 "CLASE" 34
"MV13-1" 5 HIGH 17 "de" 32
"MV13-1" 5 HIGH 18 "MUSICA" 33
"MV13-1" 5 LOW 1 "EL" 24
"MV13-1" 5 LOW 2 "PROFESOR" 28
"MV13-1" 5 LOW 3 "DIJO" 36
"MV13-1" 5 LOW 4 "QUE" 24
"MV13-1" 5 LOW 5 "LOS" 70
"MV13-1" 5 LOW 6 "ALUMNOS" 26
"MV13-1" 5 LOW 7 "SELEVANTARAN" 33
"MV13-1" 5 LOW 8 "DEL" 26
"MV13-1" 5 LOW 9 "ASIENTO" 29
"MV13-1" 5 LOW 10 "CUANDO" 20
"MV13-1" 5 LOW 11 "LOS" 23
"MV13-1" 5 LOW 12 "DIRECTORES" 70
"MV13-1" 5 LOW 13 "ENTRARAN" 32
"MV13-1" 5 LOW 14 "EN" 30
"MV13-1" 5 LOW 15 "LA" 29
"MV13-1" 5 LOW 16 "CLASE" 70
"MV13-1" 5 LOW 17 "de" 70
"MV13-1" 5 LOW 18 "MUSICA" 70
"MV13-1" 5 UNAMB 1 "EL" 23
"MV13-1" 5 UNAMB 2 "PROFESOR" 25
"MV13-1" 5 UNAMB 3 "DIJO" 70
"MV13-1" 5 UNAMB 4 "QUE" 33
"MV13-1" 5 UNAMB 5 "LOS" 70
"MV13-1" 5 UNAMB 6 "ALUMNOS" 27
"MV13-1" 5 UNAMB 7 "SELEVANTARAN" 35
"MV13-1" 5 UNAMB 8 "DEL" 29
"MV13-1" 5 UNAMB 9 "ASIENTO" 70
"MV13-1" 5 UNAMB 10 "SI" 46
"MV13-1" 5 UNAMB 11 "LOS" 70
"MV13-1" 5 UNAMB 12 "DIRECTORES" 70
"MV13-1" 5 UNAMB 13 "ENTRABAN" 36
"MV13-1" 5 UNAMB 14 "EN" 34
"MV13-1" 5 UNAMB 15 "LA" 28
"MV13-1" 5 UNAMB 16 "CLASE" 70
"MV13-1" 5 UNAMB 17 "de" 70
"MV13-1" 5 UNAMB 18 "MUSICA" 70
"MV13-1" 6 HIGH 1 "EL" 70
"MV13-1" 6 HIGH 2 "PROFESOR" 26
"MV13-1" 6 HIGH 3 "DIJO" 70
"MV13-1" 6 HIGH 4 "QUE" 29
"MV13-1" 6 HIGH 5 "LOS" 70
"MV13-1" 6 HIGH 6 "ALUMNOS" 26
"MV13-1" 6 HIGH 7 "SELEVANTARAN" 29
"MV13-1" 6 HIGH 8 "DEL" 70
"MV13-1" 6 HIGH 9 "ASIENTO" 29
"MV13-1" 6 HIGH 10 "CUANDO" 20
"MV13-1" 6 HIGH 10 "CUANDO" 74
"MV13-1" 6 HIGH 11 "LOS" 25
"MV13-1" 6 HIGH 12 "DIRECTORES" 29
"MV13-1" 6 HIGH 13 "ENTRARON" 142
"MV13-1" 6 HIGH 14 "EN" 70
"MV13-1" 6 HIGH 15 "LA" 25
"MV13-1" 6 HIGH 16 "CLASE" 70
"MV13-1" 6 HIGH 17 "de" 70
"MV13-1" 6 HIGH 18 "MUSICA" 70
"MV13-1" 6 LOW 1 "EL" 70
"MV13-1" 6 LOW 2 "PROFESOR" 29
"MV13-1" 6 LOW 3 "DIJO" 70
"MV13-1" 6 LOW 4 "QUE" 26
"MV13-1" 6 LOW 5 "LOS" 24
"MV13-1" 6 LOW 6 "ALUMNOS" 70
"MV13-1" 6 LOW 7 "SELEVANTARAN" 27
"MV13-1" 6 LOW 8 "DEL" 70
"MV13-1" 6 LOW 9 "ASIENTO" 27
"MV13-1" 6 LOW 10 "CUANDO" 20
"MV13-1" 6 LOW 11 "LOS" 70
"MV13-1" 6 LOW 12 "DIRECTORES" 28
"MV13-1" 6 LOW 13 "ENTRARAN" 34
"MV13-1" 6 LOW 14 "EN" 33
"MV13-1" 6 LOW 15 "LA" 70
"MV13-1" 6 LOW 16 "CLASE" 32
"MV13-1" 6 LOW 17 "de" 70
"MV13-1" 6 LOW 18 "MUSICA" 70
"MV13-1" 6 UNAMB 1 "EL" 70
"MV13-1" 6 UNAMB 2 "PROFESOR" 29
"MV13-1" 6 UNAMB 3 "DIJO" 39
"MV13-1" 6 UNAMB 4 "QUE" 27
"MV13-1" 6 UNAMB 5 "LOS" 22
"MV13-1" 6 UNAMB 6 "ALUMNOS" 30
"MV13-1" 6 UNAMB 7 "SELEVANTARAN" 36
"MV13-1" 6 UNAMB 8 "DEL" 35
"MV13-1" 6 UNAMB 9 "ASIENTO" 25
"MV13-1" 6 UNAMB 10 "SI" 50
"MV13-1" 6 UNAMB 11 "LOS" 26
"MV13-1" 6 UNAMB 12 "DIRECTORES" 30
"MV13-1" 6 UNAMB 13 "ENTRABAN" 31
"MV13-1" 6 UNAMB 14 "EN" 36
"MV13-1" 6 UNAMB 15 "LA" 70
"MV13-1" 6 UNAMB 16 "CLASE" 31
"MV13-1" 6 UNAMB 17 "de" 29
"MV13-1" 6 UNAMB 18 "MUSICA" 28
"MV13-1" 7 HIGH 1 "EL" 22
"MV13-1" 7 HIGH 2 "PROFESOR" 26
"MV13-1" 7 HIGH 3 "DIJO" 33
"MV13-1" 7 HIGH 4 "QUE" 70
"MV13-1" 7 HIGH 5 "LOS" 70
"MV13-1" 7 HIGH 6 "ALUMNOS" 26
"MV13-1" 7 HIGH 7 "SELEVANTARAN" 32
"MV13-1" 7 HIGH 8 "DEL" 30
"MV13-1" 7 HIGH 9 "ASIENTO" 25
"MV13-1" 7 HIGH 10 "CUANDO" 20
"MV13-1" 7 HIGH 11 "LOS" 70
"MV13-1" 7 HIGH 12 "DIRECTORES" 27
"MV13-1" 7 HIGH 13 "ENTRARON" 34
"MV13-1" 7 HIGH 14 "EN" 30
"MV13-1" 7 HIGH 15 "LA" 27
"MV13-1" 7 HIGH 16 "CLASE" 34
"MV13-1" 7 HIGH 17 "de" 31
"MV13-1" 7 HIGH 18 "MUSICA" 29
"MV13-1" 7 LOW 1 "EL" 23
"MV13-1" 7 LOW 2 "PROFESOR" 26
"MV13-1" 7 LOW 3 "DIJO" 70
"MV13-1" 7 LOW 4 "QUE" 25
"MV13-1" 7 LOW 5 "LOS" 22
"MV13-1" 7 LOW 6 "ALUMNOS" 70
"MV13-1" 7 LOW 7 "SELEVANTARAN" 70
"MV13-1" 7 LOW 8 "DEL" 26
"MV13-1" 7 LOW 9 "ASIENTO" 30
"MV13-1" 7 LOW 10 "CUANDO" 20
"MV13-1" 7 LOW 11 "LOS" 27
"MV13-1" 7 LOW 12 "DIRECTORES" 33
"MV13-1" 7 LOW 13 "ENTRARAN" 32
"MV13-1" 7 LOW 14 "EN" 70
"MV13-1" 7 LOW 15 "LA" 35
"MV13-1" 7 LOW 16 "CLASE" 30
"MV13-1" 7 LOW 17 "de" 34
"MV13-1" 7 LOW 18 "MUSICA" 70
"MV13-1" 7 UNAMB 1 "EL" 70
"MV13-1" 7 UNAMB 2 "PROFESOR" 70
"MV13-1" 7 UNAMB 3 "DIJO" 29
"MV13-1" 7 UNAMB 4 "QUE" 70
"MV13-1" 7 UNAMB 5 "LOS" 22
"MV13-1" 7 UNAMB 6 "ALUMNOS" 31
"MV13-1" 7 UNAMB 7 "SELEVANTARAN" 37
"MV13-1" 7 UNAMB 8 "DEL" 70
"MV13-1" 7 UNAMB 9 "ASIENTO" 28
"MV13-1" 7 UNAMB 10 "SI" 39
"MV13-1" 7 UNAMB 11 "LOS" 25
"MV13-1" 7 UNAMB 12 "DIRECTORES" 29
"MV13-1" 7 UNAMB 13 "ENTRABAN" 32
"MV13-1" 7 UNAMB 14 "EN" 70
"MV13-1" 7 UNAMB 15 "LA" 36
"MV13-1" 7 UNAMB 16 "CLASE" 27
"MV13-1" 7 UNAMB 17 "de" 31
