"subj" "tid" "cond" "item" "nw" "cr" "trial" "expt" "acc" "sess" "nf" "p" "pc" "clust" "FPRT.c" "pcu" "isa" "isc" "isn" "isr" "FPRT" "FPRT.c1" "pcu1" 
"22" 1 48 "c" "9" -0.90981086130922 12 -0.534398550891633 "essp" 1 1 44 347.449466240342 1.62931370327823 "B" -0.497256380807701 0.680580963901941 0 0 0 1 -0.460584641290002 "low" "high" 
"23" 1 49 "a" "43" 0.956696344366465 14 -0.510979081477029 "essp" 1 1 31 -58.8047428911086 -0.811929366229513 "N" 1.11234494762574 0.680580963901941 0 0 1 0 1.09778941862857 "high" "high" 
"24" 1 51 "b" "29" 0.334527275807903 14 -0.464140142647822 "essp" 1 1 25 -123.962893483461 -1.20347456128263 "N" -0.428186923433701 0.680580963901941 0 0 1 0 -0.389044227403437 "low" "high" 
"25" 1 56 "c" "33" 0.334527275807903 16 -0.347042795574803 "essp" 1 1 48 -30.1402707187251 -0.639680211736971 "B" -1.05137218458901 0.680580963901941 0 0 0 1 -1.05177019053928 "low" "high" 
"26" 1 57 "c" "30" -0.90981086130922 13 -0.323623326160199 "essp" 0 1 24 437.876374439181 2.17270268971948 "C" -0.565198810637088 0.680580963901941 0 1 0 0 -0.531408460283248 "low" "high" 
"27" 1 58 "b" "2" 0.956696344366465 13 -0.300203856745596 "essp" 0 1 36 40.9353914839427 -0.212575793215627 "C" -0.179679430466886 0.680580963901941 0 1 0 0 -0.135378274090836 "low" "high" 
"28" 1 59 "b" "41" -1.53197992986778 12 -0.276784387330992 "essp" 0 1 23 -24.2994967069037 -0.604582116119933 "C" -0.157523381148946 0.680580963901941 0 1 0 0 -0.113040055316006 "low" "high" 
"29" 1 64 "a" "13" 2.20103448148359 16 -0.159687040257974 "essp" 1 1 34 -4.93225499543917 -0.488201427524295 "B" 1.11234494762574 0.680580963901941 0 0 0 1 1.09778941862857 "high" "high" 
"30" 1 69 "b" "71" 0.956696344366465 16 -0.042589693184955 "essp" 0 1 51 7.08369310716635 -0.415995775571139 "N" 1.70056235034602 0.680580963901941 0 0 1 0 1.61699599969402 "high" "high" 
"31" 1 74 "a" "67" 0.956696344366465 15 0.0745076538880635 "essp" 1 1 35 231.416737141477 0.932055461070039 "N" 0.697268135044164 0.680580963901941 0 0 1 0 0.716291659596087 "high" "high" 
"32" 1 79 "b" "35" 0.334527275807903 13 0.191605000961082 "essp" 1 1 22 -23.0765363229934 -0.597233161956758 "N" -0.319376165181828 0.680580963901941 0 0 1 0 -0.277263841982016 "low" "high" 
"33" 1 80 "b" "50" 0.334527275807903 13 0.215024470375686 "essp" 0 1 61 168.267144665484 0.552579995932461 "C" 0.757471887517756 0.680580963901941 0 1 0 0 0.772441000721079 "high" "high" 
"34" 1 82 "a" "34" -0.90981086130922 13 0.261863409204893 "essp" 0 1 24 394.10055263066 1.90964714666299 "N" 1.0677590522518 0.680580963901941 0 0 1 0 1.05743068316035 "high" "high" 
"35" 1 86 "b" "17" -0.90981086130922 13 0.355541286863308 "essp" 1 1 59 313.319170808425 1.42421958902511 "B" -0.246826941825654 0.680580963901941 0 0 0 1 -0.203352546380989 "low" "high" 
"36" 1 88 "a" "49" 0.334527275807903 13 0.402380225692515 "essp" 0 1 53 54.5585239923703 -0.130712326761245 "A" 0.0529370726009496 0.680580963901941 1 0 0 0 0.0969483497124575 "high" "high" 
"37" 1 89 "a" "55" 2.20103448148359 16 0.425799695107119 "essp" 0 1 55 -86.2146035540529 -0.976639370152043 "C" 0.348309654095154 0.680580963901941 0 1 0 0 0.385143147220295 "high" "high" 
"38" 1 90 "c" "54" -0.287641792750658 13 0.449219164521723 "essp" 0 1 38 -43.3595145625805 -0.719116650037362 "B" 0.349468197451871 0.680580963901941 0 0 0 1 0.386258996140866 "high" "high" 
"39" 1 94 "b" "23" -0.90981086130922 13 0.542897042180138 "essp" 0 1 35 -25.6686651966338 -0.612809656934065 "C" -0.741962230316751 0.680580963901941 0 1 0 0 -0.717804309277833 "low" "high" 
"40" 1 96 "a" "22" -0.287641792750658 12 0.589735981009345 "essp" 1 1 76 -42.3166537193185 -0.712849941289858 "A" -0.329975245587051 0.680580963901941 1 0 0 0 -0.288103053959955 "low" "high" 
"41" 1 97 "b" "44" 0.956696344366465 14 0.613155450423949 "essp" 0 1 40 204.008178394066 0.767353280555123 "C" 1.14629878486473 0.680580963901941 0 1 0 0 1.12842641796052 "high" "high" 
"42" 1 98 "b" "5" 0.956696344366465 14 0.636574919838552 "essp" 0 1 57 223.591404179231 0.885031850160221 "N" -0.698701360079009 0.680580963901941 0 0 1 0 -0.671897177195549 "low" "high" 
"43" 1 99 "a" "1" 0.334527275807903 14 0.68341385866776 "essp" 0 1 22 360.651224732289 1.70864506945086 "N" 0.000288268167627967 0.680580963901941 0 0 1 0 0.0447874201815404 "high" "high" 
"44" 1 100 "c" "18" 0.334527275807903 13 0.706833328082364 "essp" 0 1 27 182.391667957309 0.637456395539465 "C" 1.22955974921903 0.680580963901941 0 1 0 0 1.2031994580316 "high" "high" 
"45" 1 102 "c" "24" -0.90981086130922 12 0.753672266911571 "essp" 1 1 53 95.2393563165691 0.113744955750561 "B" 0.0286392509386078 0.680580963901941 0 0 0 1 0.0729060065783934 "high" "high" 
"46" 1 103 "c" "66" -0.90981086130922 13 0.777091736326175 "essp" 0 1 66 -41.7833155915294 -0.709645031706391 "C" 0.943239714208262 0.680580963901941 0 1 0 0 0.943936963930962 "high" "high" 
"47" 1 105 "c" "3" -0.90981086130922 12 0.823930675155382 "essp" 0 1 64 -33.3393158441215 -0.658903758388002 "C" -0.0487666949877655 0.680580963901941 0 1 0 0 -0.00403357751752193 "high" "high" 
"48" 1 106 "a" "64" 0.334527275807903 13 0.847350144569986 "essp" 1 1 67 84.6344521913413 0.0500184807588158 "C" 0.0701606547137377 0.680580963901941 0 1 0 0 0.113959487746602 "high" "high" 
"49" 1 107 "b" "68" 1.57886541292503 15 0.87076961398459 "essp" 1 1 80 -81.0784560543962 -0.945775481961658 "B" 0.745586009515649 0.680580963901941 0 0 0 1 0.761377956190755 "high" "high" 
"50" 1 110 "c" "57" 0.334527275807903 16 0.964447491643004 "essp" 1 1 25 -90.0539169509848 -0.999710385814789 "C" 1.35934836812135 0.680580963901941 0 1 0 0 1.31876591894135 "high" "high" 
"51" 1 112 "c" "72" -1.53197992986778 11 1.01128643047221 "essp" 1 1 40 -125.206811248336 -1.21094945152199 "C" 1.80066732675108 0.680580963901941 0 1 0 0 1.7029979748715 "high" "high" 
"52" 1 113 "b" "38" 1.57886541292503 15 1.03470589988682 "essp" 0 1 45 120.725758469593 0.266896606180906 "N" 0.838612072091683 0.680580963901941 0 0 1 0 0.847672170212552 "high" "high" 
"53" 1 117 "c" "60" -0.90981086130922 15 1.15180324695983 "essp" 1 1 17 -35.0737655754877 -0.669326329504643 "N" -0.845749532209235 0.680580963901941 0 0 1 0 -0.828717207505906 "low" "high" 
"54" 1 118 "b" "53" -0.90981086130922 13 1.17522271637444 "essp" 1 1 29 81.5413728912738 0.0314316988006152 "C" 0.42069752657485 0.680580963901941 0 1 0 0 0.45464976555258 "high" "high" 
