"subj" "tid" "cond" "item" "nw" "cr" "trial" "expt" "acc" "sess" "nf" "p" "pc" "clust" "FPRT.c" "pcu" "isa" "isc" "isn" "isr"
"43" 1 99 "a" "1" 19 14 110 "essp" 0 1 22 360.651224732289 1.70864506945086 "N" 6.03548143252476 0.782291666666667 0 0 1 0
"44" 1 100 "c" "18" 19 13 111 "essp" 0 1 27 182.391667957309 0.637456395539465 "C" 6.69633261836926 0.782291666666667 0 1 0 0
"45" 1 102 "c" "24" 17 12 113 "essp" 1 1 53 95.2393563165691 0.113744955750561 "B" 6.05072280180149 0.782291666666667 0 0 0 1
"46" 1 103 "c" "66" 17 13 114 "essp" 0 1 66 -41.7833155915294 -0.709645031706391 "C" 6.54240816995851 0.782291666666667 0 1 0 0
"47" 1 105 "c" "3" 17 12 116 "essp" 0 1 64 -33.3393158441215 -0.658903758388002 "C" 6.00910969034046 0.782291666666667 0 1 0 0
"48" 1 106 "a" "64" 19 13 117 "essp" 1 1 67 84.6344521913413 0.0500184807588158 "C" 6.07304453410041 0.782291666666667 0 1 0 0
"49" 1 107 "b" "68" 21 15 118 "essp" 1 1 80 -81.0784560543962 -0.945775481961658 "B" 6.43615036836943 0.782291666666667 0 0 0 1
"50" 1 110 "c" "57" 19 16 122 "essp" 1 1 25 -90.0539169509848 -0.999710385814789 "C" 6.76610643483928 0.782291666666667 0 1 0 0
"51" 1 112 "c" "72" 16 11 124 "essp" 1 1 40 -125.206811248336 -1.21094945152199 "C" 7.00335765366417 0.782291666666667 0 1 0 0
"52" 1 113 "b" "38" 21 15 125 "essp" 0 1 45 120.725758469593 0.266896606180906 "N" 6.48616078894409 0.782291666666667 0 0 1 0
"53" 1 117 "c" "60" 17 15 130 "essp" 1 1 17 -35.0737655754877 -0.669326329504643 "N" 5.58065506400759 0.782291666666667 0 0 1 0
"54" 1 118 "b" "53" 17 13 131 "essp" 1 1 29 81.5413728912738 0.0314316988006152 "C" 6.26149168432104 0.782291666666667 0 1 0 0
"55" 1 120 "b" "59" 18 16 133 "essp" 1 1 28 171.389898906341 0.571345099104112 "C" 5.97635090929793 0.782291666666667 0 1 0 0
"56" 1 121 "a" "7" 15 12 134 "essp" 0 1 54 144.342322347106 0.408812115228371 "B" 6.01126717440416 0.782291666666667 0 0 0 1
"57" 1 122 "b" "62" 17 13 135 "essp" 1 1 17 16.2588104962016 -0.360861105617098 "N" 6.51025834052315 0.782291666666667 0 0 1 0
"58" 1 123 "a" "46" 19 14 136 "essp" 0 1 35 -51.7612793936553 -0.769604127347065 "C" 5.94017125272043 0.782291666666667 0 1 0 0
"59" 1 125 "b" "56" 19 13 138 "essp" 0 1 22 72.848264207556 -0.0208065078433852 "C" 5.77782573236477 0.782291666666667 0 1 0 0
