experiment simulation item wn word timeout.eyeloc
"MV13-51" 12 UNAMB 18 "musica" 18
"MV13-52" 3 LOW 14 "en" 14
"MV13-52" 3 UNAMB 10 "si" 11
"MV13-52" 5 UNAMB 10 "si" 10
"MV13-52" 10 UNAMB 10 "si" 10
"MV13-52" 15 UNAMB 10 "si" 10
"MV13-53" 1 UNAMB 10 "si" 10
"MV13-53" 6 UNAMB 10 "si" 9
"MV13-53" 7 HIGH 17 "de" 17
"MV13-53" 11 UNAMB 10 "si" 10
"MV13-54" 2 UNAMB 10 "si" 10
"MV13-54" 6 UNAMB 10 "si" 10
"MV13-54" 8 LOW 14 "en" 14
"MV13-54" 11 UNAMB 10 "si" 10
"MV13-55" 1 HIGH 3 "dijo" 4
"MV13-55" 1 UNAMB 18 "musica" 18
"MV13-55" 2 UNAMB 10 "si" 9
"MV13-55" 3 HIGH 17 "de" 17
"MV13-55" 4 HIGH 8 "del" 8
"MV13-55" 4 HIGH 15 "la" 14
"MV13-55" 4 UNAMB 10 "si" 10
"MV13-55" 8 UNAMB 10 "si" 10
"MV13-55" 9 LOW 13 "entraran" 13
"MV13-55" 9 UNAMB 10 "si" 9
"MV13-55" 10 UNAMB 14 "en" 13
"MV13-55" 11 HIGH 13 "entraron" 13
"MV13-55" 11 UNAMB 10 "si" 10
"MV13-55" 11 UNAMB 14 "en" 13
"MV13-55" 13 LOW 14 "en" 14
"MV13-55" 14 UNAMB 4 "que" 4
"MV13-55" 14 UNAMB 10 "si" 10
"MV13-56" 1 LOW 7 "selevantaran" 7
"MV13-56" 3 UNAMB 10 "si" 10
"MV13-56" 9 UNAMB 10 "si" 10
"MV13-56" 14 UNAMB 10 "si" 10
"MV13-56" 15 UNAMB 10 "si" 9
"MV13-57" 4 LOW 17 "de" 16
"MV13-57" 4 UNAMB 10 "si" 10
"MV13-57" 7 UNAMB 10 "si" 10
"MV13-57" 9 LOW 7 "selevantaran" 7
"MV13-57" 9 UNAMB 10 "si" 9
"MV13-57" 10 LOW 13 "entraran" 13
"MV13-57" 15 UNAMB 10 "si" 10
"MV13-58" 1 HIGH 8 "del" 8
"MV13-58" 2 UNAMB 10 "si" 10
