sn	wn	nw	let	l	f	p	word	log_freq	bigram	pos_bigram	len	logitpred	spm	spu	sp1	rv1	sp5	rv5	sp10	rv10	sp15	rv15	sp20	rv20	sp25	rv25	sp30	rv30	sp50	rv50	sp100	rv100	freq.pm	scaled.freq	scaled.log.freq	log.rv100	scaled.log.rv100	freq.class	spu.class	sp100.class	rv1.class	rv100.class
100	7	7	2.47590361445783	7	2.02352817996199	1.641701121	Schule	NA	NA	NA	NA	NA	NA	2.16450555246855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA
101	1	6	3.13636363636364	5	1.648164778574	-2.221321581	Viele	NA	NA	NA	NA	NA	NA	5.93746749199435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
101	2	6	3.12154696132597	6	2.41449368889369	-1.510208248	Kinder	2.4994589	2.5649494	12.276443	0.16666667	-1.51020825	5.95961	1.32205303782601	1.82825700993	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	315.834014082125	0.00944787633321834	0.552473476250555	5.2812582127327	0.77476502189049	3	2	1	2	1
101	3	6	2.65315315315315	5	1.83697001223383	-2.221321581	lesen	1.7933209	2.1972246	13.354391	0.2	-2.22132158	6.498005	2.15731640608427	0.344430885517	196.617105931	0.812594064158	196.617105931	0.452261801003	196.617105931	0.339202607501	196.617105931	0.239464924483	196.617105931	0.136205079564	395.929128334	0.0664647422462	395.929128334	0	395.929128334	0	395.929128334	62.1327963614482	0.00185864393981124	0.396390687462704	5.98123522638411	0.877452238545981	2	3	1	2	2
101	4	6	1.75	3	3.45356141575093	-2.221321581	nur	3.4063051	2.9957323	7.91972	0.33333333	-2.22132158	9.881736	3.07693833099384	1.1361472271	145.617105931	0.594468246	145.617105931	0.451603403056	196.617105931	0.402601193282	301.431851041	0.434045530689	301.431851041	0.413094149561	352.431851041	0.378762373305	352.431851041	0.234411602929	429.297861383	0.11740045969	429.297861383	2548.62007711244	0.0762395633000268	0.752920249965701	6.06215099358056	0.889322649652202	4	4	2	2	3
101	5	6	1.67300380228137	4	3.46134693245464	-1.073291291	noch	3.4477099	9.5183396	13.64147	0.25	-1.07329129	4.852871	2.92547062515047	2.70902741654	130.561438751	1.85281939876	145.617105931	1.32963572762	196.617105931	1.14543461833	196.617105931	0.871722525969	196.617105931	0.855015566474	196.617105931	0.856848077791	196.617105931	0.700161684238	344.929128334	0.496090412145	344.929128334	2803.56029032022	0.0838658590736197	0.762072252340878	5.84333897080989	0.857222741868276	4	4	3	1	1
101	6	6	2.26256983240223	7	1.9107145623209	-1.392501374	selten	NA	NA	NA	NA	NA	NA	2.6245968832666	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA
102	1	8	2.13023255813953	3	3.6967764986441	-1.20539895	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
102	2	8	5.25153374233129	12	1.31405270461033	-2.552972737	Journalisten	1.8251618	3.4339872	15.822097	0.08333333	-2.55297274	6.61735	1.17344818178616	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	66.8592961009719	0.00200003271694402	0.403428711856682	5.2812582127327	0.77476502189049	2	1	1	2	1
102	3	8	2.70982142857143	6	1.85965757832158	-1.386290111	fragen	1.6839453	1.0986123	14.315436	0.16666667	-1.38629011	6.586956	2.39901011553916	0.344430885517	196.617105931	0.265168553075	196.617105931	0.17101849506	196.617105931	0.131553774163	395.929128334	0.107511373828	395.929128334	0.0508262924124	395.929128334	0.0400831925315	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	48.299796393656	0.001444842806349	0.372214607612385	5.98123522638411	0.877452238545981	2	3	1	2	2
102	4	8	1.85106382978723	3	4.07494071589607	-0.589327825	den	4.0796515	3.2958369	13.279692	0.33333333	-0.58932783	10.592385	2.3734432300052	1.42976556915	51	0.505708013244	196.617105931	0.290665626116	196.617105931	0.235219174306	196.617105931	0.223944510197	196.617105931	0.240327358244	196.617105931	0.19729881487	196.617105931	0.14513973119	395.929128334	0.0425397153073	429.297861383	12013.0006341593	0.359357571768374	0.901754874263302	6.06215099358056	0.889322649652202	5	3	2	1	3
102	5	8	4.86461538461538	13	1.55476527623244	-2.215395751	Bürgermeister	2.0376376	4.9698133	15.822097	0.07692308	-2.21539575	6.54856	0.894336231382461	1.27525819246	371.57079941	0.86416742145	371.57079941	0.625523651354	371.57079941	0.619676986658	371.57079941	0.546883351745	371.57079941	0.494371500418	371.57079941	0.444711659773	371.57079941	0.369937244363	371.57079941	0.314274284829	422.57079941	109.052995648628	0.00326221740128132	0.450393774512891	6.04635700532656	0.887005658290968	3	1	3	3	3
102	6	8	2.57232704402516	4	3.4792901973587	0.382303208	nach	3.5270109	2.0794415	14.889018	0.25	0.38230321	6.586956	1.56898151223856	1.28148947072	167.925658896	0.995236117804	167.925658896	0.736632868699	218.925658896	0.595152355855	218.925658896	0.578854180209	218.925658896	0.543941129145	218.925658896	0.576191135694	422.893369667	0.546783819947	422.893369667	0.460785080388	673.82295772	3365.20015308583	0.100666785289994	0.779600725859745	6.51296740240151	0.955457796009311	4	2	3	2	3
102	7	8	2.85123966942149	6	3.04734107763906	-1.13217987	seiner	3.0069963	8.0557925	12.973641	0.16666667	-1.13217987	6.458063	5.56999341171184	1.54060757386	145.617105931	1.86797886867	196.617105931	1.6503829726	196.617105931	1.24878031976	196.617105931	1.06729964075	196.617105931	0.985087069709	196.617105931	0.980773355525	197.139065809	0.890801360542	197.139065809	0.744226970243	445.085139536	1016.24003491094	0.0303998611505075	0.664658138180851	6.09826558866598	0.894620691127332	4	5	3	2	3
102	8	8	3.21857923497268	8	2.07841331392298	-0.495820681	Meinung	NA	NA	NA	NA	NA	NA	0.446666639414926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
103	1	7	3.09061488673139	5	0.113707098674578	-2.552972737	Kevin	NA	NA	NA	NA	NA	NA	3.7703904316269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA
