"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
23 9 "he" 9547 4 2 0.9 "0"
23 10 "punched" 1 1 7 0 "0"
23 11 "sally" 14 2 5 0.05 "0"
24 1 "most" 1159 4 4 0 "0"
24 2 "job" 239 3 3 0 "0"
24 3 "applications" 25 2 12 0.05 "0"
24 4 "require" 86 2 7 0.1 "0"
24 5 "at" 5372 4 2 0.05 "0"
24 6 "least" 343 3 5 0.75 "0"
24 7 "one" 3297 4 3 0.3 "1"
24 8 "letter" 145 3 6 0.05 "0"
24 9 "of" 36414 5 2 1 "0"
24 10 "recommendation" 24 2 14 0.55 "0"
25 1 "the" 69974 5 3 0 "0"
25 2 "daredevil" 1 1 9 0 "0"
25 3 "was" 9816 4 3 0.1 "0"
25 4 "relieved" 24 2 8 0 "0"
25 5 "when" 2333 4 4 0.4 "0"
25 6 "his" 6994 4 3 0.05 "1"
25 7 "parachute" 1 1 9 0.15 "0"
25 8 "finally" 191 3 7 0.05 "0"
25 9 "opened" 131 3 6 1 "0"
26 1 "it" 8761 4 2 0 "0"
26 2 "is" 10109 5 2 0 "0"
26 3 "not" 4868 4 3 0 "0"
26 4 "unusual" 63 2 7 0 "0"
26 5 "to" 26155 5 2 0.25 "0"
26 6 "see" 772 3 3 0.2 "0"
26 7 "an" 3727 4 2 0.65 "1"
26 8 "armadillo" 2 1 9 0 "0"
26 9 "cross" 55 2 5 0.05 "0"
26 10 "a" 23127 5 1 0 "0"
26 11 "road" 195 3 4 0.55 "0"
26 12 "in" 21335 5 2 0.7 "0"
26 13 "texas" 69 2 5 0.2 "0"
27 1 "erik" 1 1 4 0 "0"
27 2 "took" 426 3 4 0 "0"
27 3 "his" 6995 4 3 0.15 "0"
27 4 "sick" 51 2 4 0 "1"
27 5 "parakeet" 1 1 8 0 "0"
27 6 "to" 26155 5 2 1 "0"
27 7 "the" 69974 5 3 1 "0"
27 8 "veterinarian" 2 1 12 0.9 "0"
27 9 "on" 6740 4 2 0 "0"
27 10 "tuesday" 58 2 7 0.05 "0"
28 1 "al" 14 2 2 0 "0"
28 2 "stretched" 34 2 9 0 "0"
28 3 "before" 1015 4 6 0 "0"
28 4 "running" 123 3 7 0 "0"
28 5 "to" 26155 5 2 0.2 "0"
28 6 "avoid" 58 2 5 0 "0"
28 7 "pulling" 25 2 7 0.15 "0"
28 8 "a" 23127 5 1 0.6 "1"
28 9 "ligament" 1 1 8 0 "0"
28 10 "or" 4204 4 2 0.6 "0"
28 11 "muscle" 42 2 6 0.55 "0"
29 1 "the" 69974 5 3 0 "0"
29 2 "boxer" 1 1 5 0 "0"
29 3 "flared" 5 1 6 0 "0"
29 4 "his" 6994 4 3 0.7 "1"
29 5 "nostrils" 3 1 8 0.85 "0"
29 6 "as" 7251 4 2 0.05 "0"
29 7 "he" 9547 4 2 0.75 "0"
29 8 "entered" 97 2 7 0.05 "0"
29 9 "the" 69974 5 3 1 "0"
29 10 "boxing" 1 1 6 0 "0"
