"sn" "roi" "word" "frequency" "freq.class" "len" "predictability" "target" "nw"
"182" 17 7 "and" 28850 5 3 0.2 0 11
"183" 17 8 "muffins" 1 1 7 0 0 11
"184" 17 9 "is" 10109 5 2 0.8 0 11
"185" 17 10 "dunkin" 1 1 6 0 0 11
"186" 17 11 "donuts" 1 1 6 1 0 11
"187" 18 1 "mr" 845 3 2 0 0 13
"188" 18 2 "jones" 72 2 5 0.3 0 13
"189" 18 3 "asked" 398 3 5 0 0 13
"190" 18 4 "his" 6994 4 3 0.15 0 13
"191" 18 5 "son" 165 3 3 0.05 0 13
"192" 18 6 "to" 26155 5 2 0.5 0 13
"193" 18 7 "water" 445 3 5 0 0 13
"194" 18 8 "the" 69974 5 3 0.95 1 13
"195" 18 9 "plants" 59 2 6 0.3 0 13
"196" 18 10 "and" 28850 5 3 0.5 0 13
"197" 18 11 "mow" 1 1 3 0.1 0 13
"198" 18 12 "the" 69974 5 3 1 0 13
"199" 18 13 "lawn" 15 2 4 0.95 0 13
"200" 19 1 "the" 69974 5 3 0 0 8
"201" 19 2 "brides" 5 1 6 0 1 8
"202" 19 3 "mother" 216 3 6 0.1 0 8
"203" 19 4 "cried" 30 2 5 0.05 0 8
"204" 19 5 "during" 585 3 6 0.05 0 8
"205" 19 6 "the" 69974 5 3 1 0 8
"206" 19 7 "entire" 32 2 7 0.45 0 8
"207" 19 8 "wedding" 18 2 8 0.65 0 8
"208" 20 1 "the" 69974 5 3 0 0 12
"209" 20 2 "drunk" 36 2 5 0 0 12
"210" 20 3 "driver" 49 2 6 0 0 12
"211" 20 4 "lost" 173 3 4 0 0 12
"212" 20 5 "control" 223 3 7 0.4 0 12
"213" 20 6 "crashed" 12 2 7 0.05 0 12
"214" 20 7 "into" 1789 4 4 0.4 0 12
"215" 20 8 "a" 23127 5 1 0.6 1 12
"216" 20 9 "street" 244 3 6 0 0 12
"217" 20 10 "sign" 94 2 4 0.6 0 12
"218" 20 11 "and" 28850 5 3 0.85 0 12
"219" 20 12 "died" 86 2 4 0.7 0 12
"220" 21 1 "mary" 87 2 4 0 0 12
"221" 21 2 "was" 9816 4 3 0.15 0 12
"222" 21 3 "the" 69974 5 3 0.05 0 12
"223" 21 4 "only" 1748 4 4 0.3 0 12
"224" 21 5 "teenager" 4 1 8 0 0 12
"225" 21 6 "who" 2252 4 3 0.5 0 12
"226" 21 7 "attended" 36 2 8 0 0 12
"227" 21 8 "the" 69974 5 3 0.8 1 12
"228" 21 9 "square" 143 3 6 0 0 12
"229" 21 10 "dance" 90 2 5 0.85 0 12
"230" 21 11 "in" 21335 5 2 0 0 12
"231" 21 12 "town" 212 3 4 0 0 12
"232" 22 1 "the" 69974 5 3 0 0 11
"233" 22 2 "burglar" 1 1 7 0 0 11
"234" 22 3 "broke" 67 2 5 0.15 0 11
"235" 22 4 "the" 69974 5 3 0.15 1 11
"236" 22 5 "window" 119 3 6 0.45 0 11
"237" 22 6 "and" 28850 5 3 0.35 0 11
"238" 22 7 "quietly" 49 2 7 0 0 11
"239" 22 8 "sneaked" 6 1 7 0.05 0 11
"240" 22 9 "into" 1789 4 4 0.8 0 11
"241" 22 10 "the" 69974 5 3 0.95 0 11
"242" 22 11 "house" 591 3 5 0.85 0 11
"243" 23 1 "jimmy" 11 2 5 0 0 11
"244" 23 2 "was" 9816 4 3 0 0 11
"245" 23 3 "sent" 145 3 4 0 0 11
"246" 23 4 "to" 26155 5 2 0.8 0 11
"247" 23 5 "the" 69974 5 3 0.45 0 11
"248" 23 6 "principals" 1 1 10 0.4 1 11
"249" 23 7 "office" 255 3 6 1 0 11
"250" 23 8 "because" 883 3 7 0.3 0 11
"251" 23 9 "he" 9547 4 2 0.9 0 11
"252" 23 10 "punched" 1 1 7 0 0 11
"253" 23 11 "sally" 14 2 5 0.05 0 11
"254" 24 1 "most" 1159 4 4 0 0 10
"255" 24 2 "job" 239 3 3 0 0 10
"256" 24 3 "applications" 25 2 12 0.05 0 10
"257" 24 4 "require" 86 2 7 0.1 0 10
"258" 24 5 "at" 5372 4 2 0.05 0 10
"259" 24 6 "least" 343 3 5 0.75 0 10
"260" 24 7 "one" 3297 4 3 0.3 1 10
"261" 24 8 "letter" 145 3 6 0.05 0 10
"262" 24 9 "of" 36414 5 2 1 0 10
"263" 24 10 "recommendation" 24 2 14 0.55 0 10
"264" 25 1 "the" 69974 5 3 0 0 9
"265" 25 2 "daredevil" 1 1 9 0 0 9
"266" 25 3 "was" 9816 4 3 0.1 0 9
"267" 25 4 "relieved" 24 2 8 0 0 9
"268" 25 5 "when" 2333 4 4 0.4 0 9
"269" 25 6 "his" 6994 4 3 0.05 1 9
"270" 25 7 "parachute" 1 1 9 0.15 0 9
"271" 25 8 "finally" 191 3 7 0.05 0 9
"272" 25 9 "opened" 131 3 6 1 0 9
"273" 26 1 "it" 8761 4 2 0 0 13
"274" 26 2 "is" 10109 5 2 0 0 13
"275" 26 3 "not" 4868 4 3 0 0 13
"276" 26 4 "unusual" 63 2 7 0 0 13
"277" 26 5 "to" 26155 5 2 0.25 0 13
"278" 26 6 "see" 772 3 3 0.2 0 13
"279" 26 7 "an" 3727 4 2 0.65 1 13
"280" 26 8 "armadillo" 2 1 9 0 0 13
"281" 26 9 "cross" 55 2 5 0.05 0 13
"282" 26 10 "a" 23127 5 1 0 0 13
"283" 26 11 "road" 195 3 4 0.55 0 13
"284" 26 12 "in" 21335 5 2 0.7 0 13
"285" 26 13 "texas" 69 2 5 0.2 0 13
"286" 27 1 "erik" 1 1 4 0 0 10
"287" 27 2 "took" 426 3 4 0 0 10
"288" 27 3 "his" 6995 4 3 0.15 0 10
"289" 27 4 "sick" 51 2 4 0 1 10
"290" 27 5 "parakeet" 1 1 8 0 0 10
"291" 27 6 "to" 26155 5 2 1 0 10
"292" 27 7 "the" 69974 5 3 1 0 10
"293" 27 8 "veterinarian" 2 1 12 0.9 0 10
"294" 27 9 "on" 6740 4 2 0 0 10
"295" 27 10 "tuesday" 58 2 7 0.05 0 10
"296" 28 1 "al" 14 2 2 0 0 11
"297" 28 2 "stretched" 34 2 9 0 0 11
"298" 28 3 "before" 1015 4 6 0 0 11
"299" 28 4 "running" 123 3 7 0 0 11
"300" 28 5 "to" 26155 5 2 0.2 0 11
"301" 28 6 "avoid" 58 2 5 0 0 11
"302" 28 7 "pulling" 25 2 7 0.15 0 11
"303" 28 8 "a" 23127 5 1 0.6 1 11
"304" 28 9 "ligament" 1 1 8 0 0 11
"305" 28 10 "or" 4204 4 2 0.6 0 11
"306" 28 11 "muscle" 42 2 6 0.55 0 11
"307" 29 1 "the" 69974 5 3 0 0 11
"308" 29 2 "boxer" 1 1 5 0 0 11
